,Latitude,Longitude,num_crimes_comm_area,num_complaints_comm_area,PERCENT HOUSEHOLDS BELOW POVERTY,PERCENT AGED 16+ UNEMPLOYED,Low Birth Weight,Prenatal Care Beginning in First Trimester,Preterm Births,Firearm-related,Tuberculosis,canvass fail rate,complaint fail rate,num prev canvass inspections,num prev complaint inspections,last inspection fail,inspection-complaint interaction,inspection-fail interaction,consec-fail interaction,Facility Type_Grocery Store,Facility Type_Restaurant,Risk_Risk 1 (High),Risk_Risk 2 (Medium),Results_Fail,Inspection Date,Facility Type_Daycare 2,lat_long_interaction
238,41.8815588149,-87.6413312286,7840.0,1755.0,20.6,10.7,9.0,77.6,10.5,9.3,14.1,0.0,0.337701612903,4.0,0.0,0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2016-02-24,0.0,-3670.55556847
242,41.8818069601,-87.6295431154,7511.0,578.0,14.7,5.7,5.3,78.2,6.9,4.0,6.5,0.0,0.337701612903,3.0,0.0,0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2016-05-31,0.0,-3670.08360876
246,41.8818069601,-87.6295431154,7511.0,578.0,14.7,5.7,5.3,78.2,6.9,4.0,6.5,0.0,0.337701612903,3.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2016-05-12,0.0,-3670.08360876
250,41.8818069601,-87.6295431154,7511.0,578.0,14.7,5.7,5.3,78.2,6.9,4.0,6.5,0.0,0.337701612903,3.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2016-05-12,0.0,-3670.08360876
253,41.8818069601,-87.6295431154,7511.0,578.0,14.7,5.7,5.3,78.2,6.9,4.0,6.5,0.5,0.0,2.0,3.0,0,15.0,5.0,0.0,0.0,1.0,1.0,0.0,0.0,2016-05-12,0.0,-3670.08360876
256,41.8806531808,-87.7062600612,5341.0,1642.0,42.4,19.6,17.5,73.2,16.3,37.1,13.6,0.0,0.337701612903,2.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2016-04-22,1.0,-3673.19545941
262,41.8816747568,-87.632504189,7511.0,578.0,14.7,5.7,5.3,78.2,6.9,4.0,6.5,0.0,0.337701612903,5.0,0.0,0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2016-09-30,0.0,-3670.19603857
265,41.8816747568,-87.632504189,7511.0,578.0,14.7,5.7,5.3,78.2,6.9,4.0,6.5,0.0,0.337701612903,2.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2013-03-12,0.0,-3670.19603857
271,41.8816747568,-87.632504189,7511.0,578.0,14.7,5.7,5.3,78.2,6.9,4.0,6.5,0.0,0.0,5.0,1.0,0,6.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2016-05-20,0.0,-3670.19603857
274,41.8816747568,-87.632504189,7511.0,578.0,14.7,5.7,5.3,78.2,6.9,4.0,6.5,0.0,0.337701612903,2.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2014-12-03,0.0,-3670.19603857
275,41.8816747568,-87.632504189,7511.0,578.0,14.7,5.7,5.3,78.2,6.9,4.0,6.5,0.205235807782,0.337701612903,0.0,0.0,0,0.0,0.0,0.102617903891,1.0,0.0,0.0,0.0,0.0,2010-12-09,0.0,-3670.19603857
277,41.8816747568,-87.632504189,7511.0,578.0,14.7,5.7,5.3,78.2,6.9,4.0,6.5,0.0,0.337701612903,1.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2016-07-26,0.0,-3670.19603857
284,41.8816642894,-87.6388874441,7840.0,1755.0,20.6,10.7,9.0,77.6,10.5,9.3,14.1,0.333333333333,0.333333333333,6.0,3.0,1,27.0,27.0,0.0,0.0,1.0,1.0,0.0,0.0,2016-08-03,0.0,-3670.46246263
286,41.8816642894,-87.6388874441,7840.0,1755.0,20.6,10.7,9.0,77.6,10.5,9.3,14.1,0.0,0.337701612903,1.0,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2013-12-12,0.0,-3670.46246263
292,41.8816642894,-87.6388874441,7840.0,1755.0,20.6,10.7,9.0,77.6,10.5,9.3,14.1,0.2,0.0,5.0,1.0,0,6.0,6.0,0.0,0.0,1.0,1.0,0.0,0.0,2015-10-01,0.0,-3670.46246263
297,41.8816642894,-87.6388874441,7840.0,1755.0,20.6,10.7,9.0,77.6,10.5,9.3,14.1,0.0,0.337701612903,4.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2015-10-01,0.0,-3670.46246263
300,41.8311134239,-87.6269921985,2492.0,453.0,29.6,18.2,11.7,76.0,10.2,9.1,4.2,0.0,0.337701612903,2.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2015-10-26,0.0,-3665.53464965
302,41.8967814355,-87.6286144573,8916.0,1185.0,12.9,7.0,8.6,69.7,9.6,3.2,5.5,0.0,0.337701612903,1.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2016-06-21,0.0,-3671.35690741
309,41.9040447831,-87.6290830965,8916.0,1185.0,12.9,7.0,8.6,69.7,9.6,3.2,5.5,0.333333333333,0.5,6.0,4.0,0,40.0,40.0,0.0,0.0,1.0,1.0,0.0,1.0,2016-01-06,0.0,-3672.01302238
317,41.8901685855,-87.628394336,8916.0,1185.0,12.9,7.0,8.6,69.7,9.6,3.2,5.5,0.142857142857,0.5,7.0,2.0,1,18.0,18.0,0.0,0.0,1.0,1.0,0.0,1.0,2016-06-21,0.0,-3670.76821161
321,41.8818187662,-87.6263531729,7511.0,578.0,14.7,5.7,5.3,78.2,6.9,4.0,6.5,0.333333333333,0.0,3.0,1.0,1,4.0,4.0,0.0,0.0,1.0,1.0,0.0,0.0,2016-01-08,0.0,-3669.95104273
322,41.8818187662,-87.6263531729,7511.0,578.0,14.7,5.7,5.3,78.2,6.9,4.0,6.5,0.205235807782,0.337701612903,0.0,0.0,0,0.0,0.0,0.102617903891,0.0,1.0,1.0,0.0,1.0,2010-08-18,0.0,-3669.95104273
325,41.8992550556,-87.627834638,8916.0,1185.0,12.9,7.0,8.6,69.7,9.6,3.2,5.5,0.0,0.337701612903,2.0,0.0,0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2012-05-14,0.0,-3671.54099347
329,41.8992550556,-87.627834638,8916.0,1185.0,12.9,7.0,8.6,69.7,9.6,3.2,5.5,0.333333333333,0.337701612903,3.0,0.0,0,0.0,3.0,0.0,0.0,1.0,1.0,0.0,1.0,2015-05-05,0.0,-3671.54099347
330,41.8992550556,-87.627834638,8916.0,1185.0,12.9,7.0,8.6,69.7,9.6,3.2,5.5,0.205235807782,0.337701612903,0.0,0.0,0,0.0,0.0,0.102617903891,0.0,1.0,1.0,0.0,1.0,2015-06-02,0.0,-3671.54099347
331,41.8093981696,-87.6227573197,3099.0,1050.0,29.3,24.3,12.7,74.2,13.7,25.8,13.2,0.205235807782,0.337701612903,0.0,0.0,0,0.0,0.0,0.102617903891,1.0,0.0,0.0,1.0,0.0,2014-12-09,0.0,-3663.4547495
334,41.8093981696,-87.6227573197,3099.0,1050.0,29.3,24.3,12.7,74.2,13.7,25.8,13.2,0.5,0.337701612903,2.0,0.0,0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,2013-07-29,0.0,-3663.4547495
338,41.7511181409,-87.6213073325,6687.0,2821.0,29.6,23.0,12.9,72.3,15.1,44.6,4.8,0.0,0.0,3.0,2.0,0,10.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2016-07-28,0.0,-3658.2875541
344,41.8984761929,-87.6255237581,8916.0,1185.0,12.9,7.0,8.6,69.7,9.6,3.2,5.5,0.6,0.0,5.0,1.0,0,6.0,18.0,0.6,0.0,1.0,1.0,0.0,0.0,2016-06-29,0.0,-3671.37592107
351,41.894228849,-87.625384759,8916.0,1185.0,12.9,7.0,8.6,69.7,9.6,3.2,5.5,0.0,0.0,6.0,1.0,0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2016-08-04,0.0,-3670.99792208
357,41.8934261467,-87.6253620246,8916.0,1185.0,12.9,7.0,8.6,69.7,9.6,3.2,5.5,0.0,0.0,5.0,1.0,0,6.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,2016-08-16,0.0,-3670.92663256
359,41.9000966252,-87.6253593407,8916.0,1185.0,12.9,7.0,8.6,69.7,9.6,3.2,5.5,0.0,0.0,1.0,1.0,0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2016-06-08,0.0,-3671.51102319
365,41.9000966252,-87.6253593407,8916.0,1185.0,12.9,7.0,8.6,69.7,9.6,3.2,5.5,0.4,1.0,5.0,1.0,1,6.0,18.0,0.0,0.0,1.0,1.0,0.0,1.0,2016-06-17,0.0,-3671.51102319
369,41.9000966252,-87.6253593407,8916.0,1185.0,12.9,7.0,8.6,69.7,9.6,3.2,5.5,0.666666666667,1.0,3.0,2.0,1,10.0,20.0,1.33333333333,0.0,0.0,1.0,0.0,0.0,2016-08-02,0.0,-3671.51102319
370,41.8832371751,-87.632555577,7511.0,578.0,14.7,5.7,5.3,78.2,6.9,4.0,6.5,0.205235807782,0.337701612903,0.0,0.0,0,0.0,0.0,0.102617903891,0.0,1.0,1.0,0.0,0.0,2010-02-11,0.0,-3670.33510949
377,41.8832371751,-87.632555577,7511.0,578.0,14.7,5.7,5.3,78.2,6.9,4.0,6.5,0.0,0.0,6.0,2.0,0,16.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,2016-04-29,0.0,-3670.33510949
382,41.8832371751,-87.632555577,7511.0,578.0,14.7,5.7,5.3,78.2,6.9,4.0,6.5,0.0,0.0,4.0,3.0,0,21.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2016-04-05,0.0,-3670.33510949
388,41.8832658529,-87.6387608213,7840.0,1755.0,20.6,10.7,9.0,77.6,10.5,9.3,14.1,0.0,0.337701612903,5.0,0.0,0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2014-08-11,0.0,-3670.5975185
393,41.8832658529,-87.6387608213,7840.0,1755.0,20.6,10.7,9.0,77.6,10.5,9.3,14.1,0.25,0.337701612903,4.0,0.0,0,0.0,4.0,0.0,0.0,1.0,1.0,0.0,0.0,2016-04-29,0.0,-3670.5975185
396,41.8832658529,-87.6387608213,7840.0,1755.0,20.6,10.7,9.0,77.6,10.5,9.3,14.1,0.0,0.337701612903,2.0,0.0,0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2012-09-11,0.0,-3670.5975185
398,41.8830365754,-87.6866324686,7840.0,1755.0,20.6,10.7,9.0,77.6,10.5,9.3,14.1,0.0,0.337701612903,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2011-02-09,0.0,-3672.58243486
399,41.8805570251,-87.6371317761,7511.0,578.0,14.7,5.7,5.3,78.2,6.9,4.0,6.5,0.205235807782,0.337701612903,0.0,0.0,0,0.0,0.0,0.102617903891,0.0,1.0,1.0,0.0,1.0,2010-05-24,0.0,-3670.29189487
406,41.8805570251,-87.6371317761,7511.0,578.0,14.7,5.7,5.3,78.2,6.9,4.0,6.5,0.0,0.0,6.0,1.0,0,7.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2016-05-17,0.0,-3670.29189487
412,41.8805570251,-87.6371317761,7511.0,578.0,14.7,5.7,5.3,78.2,6.9,4.0,6.5,0.0,0.337701612903,5.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2015-06-25,0.0,-3670.29189487
415,41.8805570251,-87.6371317761,7511.0,578.0,14.7,5.7,5.3,78.2,6.9,4.0,6.5,1.0,1.0,2.0,1.0,1,3.0,9.0,2.0,0.0,1.0,1.0,0.0,1.0,2012-04-26,0.0,-3670.29189487
421,41.6926606288,-87.6259400609,6536.0,2899.0,19.8,20.3,12.2,69.0,12.8,37.7,7.9,0.6,1.0,5.0,1.0,1,6.0,24.0,1.2,0.0,1.0,1.0,0.0,0.0,2016-02-03,0.0,-3653.35858124
